"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 29 17:50:55 GMT 2022","Wed Jun 29 17:50:58 GMT 2022","3443","","ProfileTest","","ProfileTest","invalideditProfile","Overwrite Profile with invalid data",""
"passed","Wed Jun 29 17:50:58 GMT 2022","Wed Jun 29 17:51:02 GMT 2022","3532","","ProfileTest","","ProfileTest","deleteProfile","Delete Profile",""
"failed","Wed Jun 29 17:50:37 GMT 2022","Wed Jun 29 17:50:41 GMT 2022","3968","","CommentTest","","CommentTest","leaveComment","Leave a Comment",""
"passed","Wed Jun 29 17:50:31 GMT 2022","Wed Jun 29 17:50:36 GMT 2022","5717","","SignInTest","","SignInTest","SignInWithDuplicateData","Invalid Sign-in Test with duplicate data",""
"passed","Wed Jun 29 17:49:33 GMT 2022","Wed Jun 29 17:49:36 GMT 2022","3180","","LandingPageTest","","LandingPageTest","educationTest","Listing education entries",""
"failed","Wed Jun 29 17:50:04 GMT 2022","Wed Jun 29 17:50:08 GMT 2022","3950","","SignInTest","","SignInTest","SignInWithWrongData","Invalid Sign-in Test with Wrong e-mail",""
"passed","Wed Jun 29 17:50:52 GMT 2022","Wed Jun 29 17:50:55 GMT 2022","2617","","LoginTest","","LoginTest","MissingDetailsLogin","Login with missing data",""
"passed","Wed Jun 29 17:49:30 GMT 2022","Wed Jun 29 17:49:33 GMT 2022","3054","","LandingPageTest","","LandingPageTest","getTextFromPage","Save text file",""
"passed","Wed Jun 29 17:50:23 GMT 2022","Wed Jun 29 17:50:27 GMT 2022","3920","","SignInTest","","SignInTest","SignInTest","Valid Sign-in Test",""
"passed","Wed Jun 29 17:50:41 GMT 2022","Wed Jun 29 17:50:44 GMT 2022","2631","","LoginTest","","LoginTest","inValidLogin","InValid Login Test",""
"passed","Wed Jun 29 17:51:02 GMT 2022","Wed Jun 29 17:51:08 GMT 2022","6205","","ProfileTest","","ProfileTest","editAgainProfile","Overwrite Profile",""
"passed","Wed Jun 29 17:50:22 GMT 2022","Wed Jun 29 17:50:23 GMT 2022","615","","SignInTest","","SignInTest","closeTermsAndCondtitons","Closing Terms and Conditions with X button",""
"passed","Wed Jun 29 17:49:36 GMT 2022","Wed Jun 29 17:50:04 GMT 2022","28216","","BlogTest","","BlogTest","goToBlog","Pagination Test",""
"passed","Wed Jun 29 17:50:08 GMT 2022","Wed Jun 29 17:50:22 GMT 2022","13711","","SignInTest","","SignInTest","textTest","Sign-in from a test file",""
"passed","Wed Jun 29 17:51:11 GMT 2022","Wed Jun 29 17:51:15 GMT 2022","3380","","ProfileTest","","ProfileTest","editMissingProfile","Overwrite Profile with one data",""
"passed","Wed Jun 29 17:51:08 GMT 2022","Wed Jun 29 17:51:11 GMT 2022","3412","","ProfileTest","","ProfileTest","editProfile","Edit Profile",""
"passed","Wed Jun 29 17:50:36 GMT 2022","Wed Jun 29 17:50:37 GMT 2022","609","","SignInTest","","SignInTest","acceptTermsAndConditions","Closing Terms and Conditions with OK button",""
"broken","Wed Jun 29 17:49:22 GMT 2022","Wed Jun 29 17:49:27 GMT 2022","4264","","LandingPageTest","","LandingPageTest","saveImageFileOnSite","Save image file",""
"passed","Wed Jun 29 17:50:44 GMT 2022","Wed Jun 29 17:50:49 GMT 2022","5628","","LoginTest","","LoginTest","logout","Logout Test with button",""
"passed","Wed Jun 29 17:49:27 GMT 2022","Wed Jun 29 17:49:30 GMT 2022","3302","","LandingPageTest","","LandingPageTest","experienceTest","Listing experience entries",""
"passed","Wed Jun 29 17:50:49 GMT 2022","Wed Jun 29 17:50:52 GMT 2022","3060","","LoginTest","","LoginTest","validLogin","Valid Login Test",""
"failed","Wed Jun 29 17:50:27 GMT 2022","Wed Jun 29 17:50:31 GMT 2022","3966","","SignInTest","","SignInTest","SignInWithoutData","Invalid Sign-in Test with missing data",""
